	question_id	question	query	background
12	EQ113	May delaying the onset of adaptive immune responses during the early phase of infections be a potential treatment for COVID‐19?	Delayed COVID-19 immune response	Looking for studies of the interactions between the SARS-CoV-2 virus and the host immune response, specifically, whether delayed response could be protective or drive mortality. 
13	EQ114	Which COVID-19 vaccine trials were paused and what were the health safety concerns?	pauses for COVID-19 vaccine trials	Looking for information about safety considerations that lead to recommendations to pause enrollment in the COVID-19 clinical trials, the differences between the paused trials and other similar studies, and the next steps after a trial was paused. Specific details about the vaccines and drugs for which the trials were paused are of interest, and so are the characteristics of the participants whose health conditions caused the suspension. Considerations of balancing the safety concerns and the study design, such as blinding, are of interest.
14	EQ115	What are the genetic and immunologic underpinnings of severe COVID-19?	covid gene links	Looking for studies of genetic and immunologic characteristics that determine the patients’ response to COVID-19, such as studies of genes that impact immunity. 
15	EQ116	What are the interactions between innate and adaptive immune responses in COVID‐19?	pathways triggered by SARS-CoV-2	Looking for studies of the innate and adaptive immune responses and their role in severity of COVID-19. Modeling and predictions of the disease course if the interactions are altered are of interest.  
16	EQ117	What measures  could mitigate resurgence of COVID-19?	covid-19 resurgence	Looking for studies relating the duration and effectiveness of social distancing and COVID-19 resurgence, as well as clinical trials of public health policies. 
17	EQ118	How efficient are herd immunity approaches to COVID-19 containment?  	herd immunity vs. COVID-19 containment strategies	Looking for studies that compare uncontrolled and controlled COVID-19 spread and other approaches  to achieving population immunity.
18	EQ119	When should an employee suspected or confirmed to have COVID-19 return to work?	Return to work after COVID-19	Looking for guidelines concerning test results and other indicators for deeming the patients’ return to workplace safe. 
19	EQ120	Which interleukins and IL-inhibitors are involved in COVID-19 pathways?	Interleukins and interleukin inhibitors in COVID-19	Looking for studies of  cellular and molecular pathways of COVID-19 and potential therapeutic Interventions, such as interleukin inhibitors.
20	EQ121	What are the characteristics and technological platforms of the COVID-19 vaccines that reached human clinical trials?	COVID-19 vaccine candidates	Looking for studies of the current COVID-19 vaccine candidates and their chances of success.
21	EQ122	What is the role of corticosteroids in COVID-19?	COVID-19 and steroids	Looking for studies evaluating the dangers of treating COVID-19 patients with corticosteroids and potential benefits of steroid treatments. Interactions of steroids, SARS-CoV-2 and the immune system are of interest. 
22	EQ123	Is there any scientific evidence that any of the alternative remedies can prevent or cure COVID-19?	Covid-19 and alternative medicine	Looking for clinical trials or observational studies showing effects of any natural and alternative treatments for COVID-19.
23	EQ124	How do  mutations in SARS-CoV-2 impact its infectivity and antigenicity?	SARS-CoV-2 mutations	Looking for analyses of SARS-CoV-2 mutations, their frequency, infectivity and antigenicity. 
24	EQ125	What computational predictions of SARS-CoV-2 mutations have been confirmed?	SARS-CoV-2 mutation predictions	Looking for studies that correlate computational predictions of SARS-CoV-2 mutations with population studies or observations. 
25	EQ126	How clean Is the air in passenger aircrafts and what are the COVID-19 risk reduction steps for airports and airlines?	covid-19 air travel safety	Looking  for studies of the air quality in airplanes and airports, and guidelines for reducing risk of COVID-19 infection at the airports and aircrafts. 
26	EQ127	How are telehealth services used during the Covid-19 pandemic and what is their impact on the population health?	covid-19 telehealth	Looking for studies of the role and benefits of telehealth services during the Covid-19 pandemic. 
27	EQ128	What COVID-19 vaccine distribution plans are fair and  will have the most impact?	covid-19 vaccine distribution plans	Looking for availability of  COVID-19 vaccines and guidelines  for their distribution.
28	EQ129	What approaches are recommended for developing  children’s social and emotional coping skills during the COVID-19 pandemic?	covid-19 child social skills and psychology	Looking for guidelines and resources for ensuring children’s well-being during the COVID-19 pandemic.
29	EQ130	What studies are measuring risk factors  of daily life activities during COVID-19?	risks of everyday activities during COVID-19	Looking for studies measuring rates of COVID-19 infection and risk factors among people adhering to protective measures during daily life activities
